dt;seccode;Expiry;Type;Strike;Base;THEORPRICE;Hi;Low;NUMCONTRACTS;NUMTRADES;VOLTODAY;VALTODAY
20200401;BR16BD0;20200427;Call;16;BRK0;9.42;0;0;18;0;0;0;
20200401;BR16BP0;20200427;Put;16;BRK0;0.48;0.56;0.33;3522;73;615;7749757.68;
20200401;BR17BD0;20200427;Call;17;BRK0;8.57;0;0;0;0;0;0;
20200401;BR17BP0;20200427;Put;17;BRK0;0.63;0.71;0.31;1370;14;31;415053.08;
20200401;BR18BD0;20200427;Call;18;BRK0;7.74;0;0;0;0;0;0;
20200401;BR18BP0;20200427;Put;18;BRK0;0.8;0.95;0.6;950;44;180;2551749.48;
20200401;BR19BD0;20200427;Call;19;BRK0;6.94;0;0;32;0;0;0;
20200401;BR19BP0;20200427;Put;19;BRK0;1;1.15;0.9;920;31;206;3082576.38;
20200401;BR20BD0;20200427;Call;20;BRK0;6.17;6.7;6.4;92;7;35;551303.9;
20200401;BR20BP0;20200427;Put;20;BRK0;1.23;1.48;0.98;10038;198;1737;27360424.98;
20200401;BR21BD0;20200427;Call;21;BRK0;5.44;6.62;5.56;32;4;5;82695.59;
20200401;BR21BP0;20200427;Put;21;BRK0;1.5;1.77;1.17;2196;83;1149;19003445.43;
20200401;BR22BD0;20200427;Call;22;BRK0;4.76;0;0;44;0;0;0;
20200401;BR22BP0;20200427;Put;22;BRK0;1.82;2.16;1.52;2822;61;330;5717809.02;
20200401;BR23BD0;20200427;Call;23;BRK0;4.12;4.53;4.3;1470;9;29;525313.86;
20200401;BR23BP0;20200427;Put;23;BRK0;2.18;2.44;1.79;22938;181;2381;43130079.25;
20200401;BR24BD0;20200427;Call;24;BRK0;3.54;4.4;3.66;130;5;6;113411.09;
20200401;BR24BP0;20200427;Put;24;BRK0;2.6;2.85;2.03;3716;105;629;11889262.39;
20200401;BR25BD0;20200427;Call;25;BRK0;3.01;4.2;2.92;552;88;315;6202168.88;
20200401;BR25BP0;20200427;Put;25;BRK0;3.07;3.42;2.5;4214;240;1370;26974512.25;
20200401;BR26BD0;20200427;Call;26;BRK0;2.54;3.64;2.32;2862;182;960;19657921.92;
20200401;BR26BP0;20200427;Put;26;BRK0;3.6;3.82;3;4508;85;666;13637683.33;
20200401;BR27BD0;20200427;Call;27;BRK0;2.13;3.11;2.01;1366;157;1173;24943351.17;
20200401;BR27BP0;20200427;Put;27;BRK0;4.19;4.43;3.35;2152;64;613;13035186.93;
20200401;BR28BD0;20200427;Call;28;BRK0;1.76;2.64;1.7;1916;184;633;13959014.75;
20200401;BR28BP0;20200427;Put;28;BRK0;4.82;4.84;3.9;1464;38;788;17377098.93;
20200401;BR29BD0;20200427;Call;29;BRK0;1.44;2.2;1.41;3810;131;825;18842779.73;
20200401;BR29BP0;20200427;Put;29;BRK0;5.5;5.4;5.15;1788;3;12;274076.8;
20200401;BR30BD0;20200427;Call;30;BRK0;1.16;1.8;1.11;5988;219;1839;43450623.09;
20200401;BR30BP0;20200427;Put;30;BRK0;6.22;6.31;5.08;2390;36;197;4654580.07;
20200401;BR31BD0;20200427;Call;31;BRK0;0.92;1.45;0.83;1582;78;245;5981647.32;
20200401;BR31BP0;20200427;Put;31;BRK0;6.98;6.66;6.65;28;2;2;48829.77;
20200401;BR32BD0;20200427;Call;32;BRK0;0.74;1.07;0.68;3436;51;674;16986460.74;
20200401;BR32BP0;20200427;Put;32;BRK0;7.8;7.15;7;168;3;7;176417.25;
20200401;BR33BD0;20200427;Call;33;BRK0;0.59;1.14;0.55;3290;83;365;9486364.97;
20200401;BR33BP0;20200427;Put;33;BRK0;8.65;0;0;634;0;0;0;
20200401;BR34BD0;20200427;Call;34;BRK0;0.48;0.73;0.45;4914;53;1219;32641916.34;
20200401;BR34BP0;20200427;Put;34;BRK0;9.54;0;0;2074;0;0;0;
20200401;BR35BD0;20200427;Call;35;BRK0;0.39;0.67;0.35;8090;91;842;23209894.19;
20200401;BR35BP0;20200427;Put;35;BRK0;10.45;0;0;76;0;0;0;
20200401;BR36BD0;20200427;Call;36;BRK0;0.33;0.44;0.29;1984;19;495;14034622.14;
20200401;BR36BP0;20200427;Put;36;BRK0;11.39;0;0;2;0;0;0;
20200401;BR37BD0;20200427;Call;37;BRK0;0.28;0.37;0.19;3906;16;181;5274403.17;
20200401;BR37BP0;20200427;Put;37;BRK0;12.34;12.08;12.08;62;1;1;29140.35;
20200401;BR38BD0;20200427;Call;38;BRK0;0.23;0.3;0.21;3962;9;114;3411783.56;
