dt;seccode;Expiry;Type;Strike;Base;THEORPRICE;Hi;Low;NUMCONTRACTS;NUMTRADES;VOLTODAY;VALTODAY
20200403;BR47BP0;20200427;Put;47;BRK0;14.77;0;0;0;0;0;0;
20200403;BR48BD0;20200427;Call;48;BRK0;0.46;0.95;0.2;850;25;270;9973795.68;
20200403;BR48BP0;20200427;Put;48;BRK0;15.69;0;0;402;0;0;0;
20200403;BR49BD0;20200427;Call;49;BRK0;0.4;0.8;0.39;386;17;27;1018158.31;
20200403;BR49BP0;20200427;Put;49;BRK0;16.63;0;0;620;0;0;0;
20200403;BR50BD0;20200427;Call;50;BRK0;0.34;0.75;0.15;2120;84;830;31937694.5;
20200403;BR50BP0;20200427;Put;50;BRK0;17.57;17.82;17.69;508;5;5;192395.75;
20200403;BR51BD0;20200427;Call;51;BRK0;0.3;0.44;0.19;486;6;13;510233.53;
20200403;BR51BP0;20200427;Put;51;BRK0;18.53;18.81;18.64;14;11;11;431736.06;
20200403;BR52BD0;20200427;Call;52;BRK0;0.26;0.45;0.18;76;6;8;320146.53;
20200403;BR52BP0;20200427;Put;52;BRK0;19.49;0;0;2;0;0;0;
20200403;BR53BD0;20200427;Call;53;BRK0;0.23;0.4;0.29;124;10;22;897333.78;
20200403;BR53BP0;20200427;Put;53;BRK0;20.46;0;0;2;0;0;0;
20200403;BR54BD0;20200427;Call;54;BRK0;0.2;0;0;60;0;0;0;
20200403;BR54BP0;20200427;Put;54;BRK0;21.43;0;0;0;0;0;0;
20200403;BR55BD0;20200427;Call;55;BRK0;0.18;0.36;0.11;824;15;144;6095097.36;
20200403;BR55BP0;20200427;Put;55;BRK0;22.41;0;0;14;0;0;0;
20200403;BR56BD0;20200427;Call;56;BRK0;0.16;0;0;0;0;0;0;
20200403;BR56BP0;20200427;Put;56;BRK0;23.39;24.9;24.9;4;1;1;43096.65;
20200403;BR57BD0;20200427;Call;57;BRK0;0.14;0.16;0.15;42;8;20;877324.62;
20200403;BR57BP0;20200427;Put;57;BRK0;24.37;0;0;2;0;0;0;
20200403;BR58BD0;20200427;Call;58;BRK0;0.12;0;0;2;0;0;0;
20200403;BR58BP0;20200427;Put;58;BRK0;25.35;0;0;0;0;0;0;
20200403;BR59BD0;20200427;Call;59;BRK0;0.11;0;0;288;0;0;0;
20200403;BR59BP0;20200427;Put;59;BRK0;26.34;0;0;4;0;0;0;
20200403;BR60BD0;20200427;Call;60;BRK0;0.1;0.24;0.05;1202;25;358;16530642.84;
20200403;BR60BP0;20200427;Put;60;BRK0;27.33;0;0;0;0;0;0;
20200403;BR61BD0;20200427;Call;61;BRK0;0.09;0;0;6;0;0;0;
20200403;BR61BP0;20200427;Put;61;BRK0;28.32;0;0;0;0;0;0;
20200403;BR62BD0;20200427;Call;62;BRK0;0.08;0;0;0;0;0;0;
20200403;BR62BP0;20200427;Put;62;BRK0;29.31;0;0;0;0;0;0;
20200403;BR63BD0;20200427;Call;63;BRK0;0.07;0.1;0.1;266;1;100;4848372.9;
20200403;BR63BP0;20200427;Put;63;BRK0;30.3;0;0;0;0;0;0;
20200403;BR64BD0;20200427;Call;64;BRK0;0.06;0;0;2;0;0;0;
20200403;BR64BP0;20200427;Put;64;BRK0;31.29;0;0;0;0;0;0;
20200403;BR65BD0;20200427;Call;65;BRK0;0.06;0;0;96;0;0;0;
20200403;BR65BP0;20200427;Put;65;BRK0;32.29;0;0;0;0;0;0;
20200403;BR66BD0;20200427;Call;66;BRK0;0.05;0;0;636;0;0;0;
20200403;BR66BP0;20200427;Put;66;BRK0;33.28;0;0;0;0;0;0;
20200403;BR67BD0;20200427;Call;67;BRK0;0.05;0;0;206;0;0;0;
20200403;BR67BP0;20200427;Put;67;BRK0;34.28;0;0;0;0;0;0;
20200403;BR68BD0;20200427;Call;68;BRK0;0.04;0;0;228;0;0;0;
20200403;BR68BP0;20200427;Put;68;BRK0;35.27;0;0;0;0;0;0;
20200403;BR69BD0;20200427;Call;69;BRK0;0.04;0.09;0.03;42;6;36;1911644.17;
20200403;BR69BP0;20200427;Put;69;BRK0;36.27;0;0;0;0;0;0;
20200403;BR70BD0;20200427;Call;70;BRK0;0.04;0;0;14776;0;0;0;
20200403;BR70BP0;20200427;Put;70;BRK0;37.27;0;0;0;0;0;0;
20200403;BR71BD0;20200427;Call;71;BRK0;0.03;0.05;0.04;854;6;173;9452787.99;
20200403;BR71BP0;20200427;Put;71;BRK0;38.26;0;0;0;0;0;0;
20200403;BR27BJ0;20201027;Call;27;BRX0;14.47;0;0;0;0;0;0;
20200403;BR27BV0;20201027;Put;27;BRX0;3.57;0;0;0;0;0;0;
20200403;BR28BJ0;20201027;Call;28;BRX0;13.83;0;0;0;0;0;0;
20200403;BR28BV0;20201027;Put;28;BRX0;3.93;0;0;0;0;0;0;
20200403;BR29BJ0;20201027;Call;29;BRX0;13.2;0;0;0;0;0;0;
20200403;BR29BV0;20201027;Put;29;BRX0;4.3;0;0;0;0;0;0;
20200403;BR30BJ0;20201027;Call;30;BRX0;12.59;0;0;0;0;0;0;
20200403;BR30BV0;20201027;Put;30;BRX0;4.69;0;0;0;0;0;0;
20200403;BR31BJ0;20201027;Call;31;BRX0;12;0;0;0;0;0;0;
20200403;BR31BV0;20201027;Put;31;BRX0;5.1;0;0;0;0;0;0;
20200403;BR32BJ0;20201027;Call;32;BRX0;11.43;0;0;0;0;0;0;
20200403;BR32BV0;20201027;Put;32;BRX0;5.53;0;0;0;0;0;0;
20200403;BR33BJ0;20201027;Call;33;BRX0;10.89;0;0;0;0;0;0;
20200403;BR33BV0;20201027;Put;33;BRX0;5.99;0;0;0;0;0;0;
20200403;BR34BJ0;20201027;Call;34;BRX0;10.36;0;0;0;0;0;0;
20200403;BR34BV0;20201027;Put;34;BRX0;6.46;0;0;0;0;0;0;
20200403;BR35BJ0;20201027;Call;35;BRX0;9.85;0;0;0;0;0;0;
20200403;BR35BV0;20201027;Put;35;BRX0;6.95;0;0;2;0;0;0;
20200403;BR36BJ0;20201027;Call;36;BRX0;9.36;0;0;0;0;0;0;
20200403;BR36BV0;20201027;Put;36;BRX0;7.46;0;0;0;0;0;0;
20200403;BR37BJ0;20201027;Call;37;BRX0;8.89;0;0;0;0;0;0;
