dt;seccode;Expiry;Type;Strike;Base;THEORPRICE;Hi;Low;NUMCONTRACTS;NUMTRADES;VOLTODAY;VALTODAY
20200413;BR13BD0;20200427;Call;13;BRK0;101;0;0;10;0;0;0;
20200413;BR13BP0;20200427;Put;13;BRK0;0.01;0.02;0.02;822;3;85;812145.17;
20200413;BR14BD0;20200427;Call;14;BRK0;17.9;0;0;0;0;0;0;
20200413;BR14BP0;20200427;Put;14;BRK0;0.02;0.1;0.04;148;19;41;421874.5;
20200413;BR15BD0;20200427;Call;15;BRK0;16.91;0;0;0;0;0;0;
20200413;BR15BP0;20200427;Put;15;BRK0;0.03;0.16;0.05;3842;67;979;10793078.51;
20200413;BR16BD0;20200427;Call;16;BRK0;15.94;0;0;8;0;0;0;
20200413;BR16BP0;20200427;Put;16;BRK0;0.06;0.19;0.06;4322;30;173;2034405.26;
20200413;BR17BD0;20200427;Call;17;BRK0;14.97;0;0;0;0;0;0;
20200413;BR17BP0;20200427;Put;17;BRK0;0.09;0.26;0.1;1624;10;11;137439.95;
20200413;BR18BD0;20200427;Call;18;BRK0;14.01;0;0;0;0;0;0;
20200413;BR18BP0;20200427;Put;18;BRK0;0.13;0.35;0.2;1128;9;34;449803.48;
20200413;BR19BD0;20200427;Call;19;BRK0;13.07;0;0;42;0;0;0;
20200413;BR19BP0;20200427;Put;19;BRK0;0.19;0.37;0.25;1526;9;234;3267689.96;
20200413;BR20BD0;20200427;Call;20;BRK0;12.14;0;0;74;0;0;0;
20200413;BR20BP0;20200427;Put;20;BRK0;0.26;0.56;0.2;25610;73;796;11700770.16;
20200413;BR21BD0;20200427;Call;21;BRK0;11.22;0;0;32;0;0;0;
20200413;BR21BP0;20200427;Put;21;BRK0;0.34;0.55;0.35;5432;25;868;13397087.84;
20200413;BR22BD0;20200427;Call;22;BRK0;10.31;0;0;56;0;0;0;
20200413;BR22BP0;20200427;Put;22;BRK0;0.43;0.75;0.38;5812;106;506;8181719.44;
20200413;BR23BD0;20200427;Call;23;BRK0;9.42;9.5;8.5;348;6;6;101426.27;
20200413;BR23BP0;20200427;Put;23;BRK0;0.54;0.83;0.4;37478;69;583;9855252.96;
20200413;BR24BD0;20200427;Call;24;BRK0;8.54;0;0;106;0;0;0;
20200413;BR24BP0;20200427;Put;24;BRK0;0.66;0.94;0.56;3914;27;284;5009575.97;
20200413;BR25BD0;20200427;Call;25;BRK0;7.68;0;0;550;0;0;0;
20200413;BR25BP0;20200427;Put;25;BRK0;0.8;1.22;0.69;9130;158;1431;26293659.08;
